"","species_name","classifications"
"79","Adinandra_dumosa","Relict"
"80","Adonis_vernalis","Common"
"81","Adoxa_moschatellina","Adaptable Survivor"
"82","Aegiceras_corniculatum","Indicator"
"83","Aegilops_cylindrica","Common"
"84","Aegilops_geniculata","Common"
"85","Aegilops_triuncialis","Common"
"86","Aegle_marmelos","Adaptable Survivor"
"87","Aegopodium_podagraria","Common"
"88","Aethionema_saxatile","Adaptable Survivor"
"89","Aethusa_cynapium_subsp._cynapium","Common"
"90","Aextoxicon_punctatum","Adaptable Survivor"
"91","Afrocarpus_falcatus","High Invasive Potential"
"92","Aganope_stuhlmannii","Indicator"
"93","Agathis_australis","Relict"
"94","Aglaia_elaeagnoidea","Classically Rare"
"95","Agonis_flexuosa","Environmentally Rare"
"96","Agrimonia_eupatoria","Common"
"97","Agrimonia_procera","Common"
"98","Agrimonia_pubescens","High Invasive Potential"
"99","Agropyron_michnoi","Environmentally Rare"
"100","Agrostemma_githago","Adaptable Survivor"
"101","Agrostis_alpina","Environmentally Rare"
"102","Agrostis_castellana","Common"
"103","Agrostis_mertensii","Common"
"104","Agrostis_muelleriana","Environmentally Rare"
"105","Agrostis_muscosa","Environmentally Rare"
"106","Agrostis_rupestris","Environmentally Rare"
"107","Agrostis_vinealis","Common"
"108","Aira_praecox","Common"
"109","Ajuga_chamaepitys","Common"
"110","Ajuga_pyramidalis","Common"
"111","Ajuga_reptans","Common"
"112","Akebia_quinata","High Invasive Potential"
"113","Akebia_trifoliata","High Invasive Potential"
"114","Alangium_chinense","Relict"
"115","Albizia_adianthifolia","Environmentally Rare"
"116","Albizia_amara","Environmentally Rare"
"117","Albizia_ferruginea","Adaptable Survivor"
"118","Albizia_gummifera","Environmentally Rare"
"119","Albizia_harveyi","Environmentally Rare"
"120","Albizia_lebbeck","Common"
"121","Alchemilla_alpina","Common"
"122","Alchemilla_caucasica","Relict"
"123","Alchemilla_crinita","Common"
"124","Alchemilla_filicaulis","Common"
"125","Alchemilla_pentaphyllea","Environmentally Rare"
"126","Alchemilla_vulgaris","Common"
"127","Alchemilla_xanthochlora","Common"
"128","Alchornea_glandulosa","Environmentally Rare"
"129","Alchornea_triplinervia","Environmentally Rare"
"130","Alhagi_maurorum","Environmentally Rare"
"131","Alisma_lanceolatum","Adaptable Survivor"
"132","Alisma_plantago-aquatica","Adaptable Survivor"
"133","Alkanna_tinctoria","Common"
"134","Alliaria_petiolata","Adaptable Survivor"
"135","Allium_angulosum","Common"
"136","Allium_oleraceum","Adaptable Survivor"
"137","Allium_sphaerocephalon","Common"
"138","Allium_stellatum","Common"
"139","Allium_strictum","Common"
"140","Allium_textile","Common"
"141","Allium_vineale","Common"
"142","Allocasuarina_campestris","Common"
"143","Allocasuarina_humilis","Common"
"144","Allophylus_cobbe","Relict"
"145","Allophylus_edulis","Adaptable Survivor"
"146","Alnus_hirsuta","Adaptable Survivor"
"147","Alnus_japonica","Relict"
"148","Alphitonia_excelsa","Adaptable Survivor"
"149","Alpinia_caerulea","Adaptable Survivor"
"150","Alstonia_muelleriana","Environmentally Rare"
"151","Alstonia_scholaris","Common"
"152","Alternanthera_nana","Adaptable Survivor"
"153","Althaea_officinalis","Common"
"154","Alvaradoa_amorphoides","Relict"
"155","Alyssum_linifolium","Environmentally Rare"
"156","Alyssum_montanum","Common"
"157","Alyssum_simplex","Common"
"158","Amaioua_guianensis","Environmentally Rare"
"159","Amanoa_guianensis","Relict"
"160","Amaranthus_blitoides","Common"
"161","Amaranthus_caudatus","Common"
"162","Amaranthus_deflexus","Common"
"163","Amaranthus_palmeri","High Invasive Potential"
"164","Amaranthus_powellii","Common"
"165","Amaranthus_retroflexus","Common"
"166","Ambrosia_deltoidea","Environmentally Rare"
"167","Ambrosia_trifida","Common"
"168","Amelanchier_ovalis","Common"
"169","Amomyrtus_luma","Relict"
"170","Amphimas_pterocarpoides","Classically Rare"
"171","Amphipogon_caricinus","Common"
"172","Amphitecna_tuxtlensis","Endemic"
"173","Amyris_elemifera","Relict"
"174","Anacamptis_pyramidalis","Common"
"175","Anacyclus_clavatus","Common"
"176","Anadenanthera_colubrina","Adaptable Survivor"
"177","Anagallis_tenella","Adaptable Survivor"
"178","Anchusa_capensis","Endemic"
"179","Anchusa_italica","Common"
"180","Andrachne_telephioides","Relict"
"181","Andromeda_polifolia","Common"
"182","Androsace_maxima","Adaptable Survivor"
"183","Androsace_obtusifolia","Environmentally Rare"
"184","Androsace_villosa","Adaptable Survivor"
"185","Androsace_vitaliana","Environmentally Rare"
"186","Andryala_ragusina","Common"
"187","Anemone_cylindrica","Common"
"188","Angelica_archangelica","Common"
"189","Angophora_floribunda","Common"
"190","Angophora_hispida","Environmentally Rare"
"191","Anisopogon_avenaceus","Adaptable Survivor"
"192","Anisoptera_costata","Endemic"
"193","Anisotome_aromatica","Common"
"194","Anisotome_flexuosa","Environmentally Rare"
"195","Anisotome_imbricata","Environmentally Rare"
"196","Anisotome_lanuginosa","Environmentally Rare"
"197","Annona_glabra","Relict"
"198","Annona_montana","Classically Rare"
"199","Annona_neosericea","Relict"
"200","Annona_squamosa","Adaptable Survivor"
"201","Anopterus_glandulosus","Relict"
"202","Antennaria_carpatica","Common"
"203","Antennaria_dioica","Common"
"204","Antennaria_parvifolia","Common"
"205","Antennaria_rosea","Common"
"206","Anthemis_cotula","Common"
"207","Anthosachne_scabra","Common"
"208","Anthospermum_aethiopicum","Environmentally Rare"
"209","Anthriscus_cerefolium","Common"
"210","Anthriscus_sylvestris","Common"
"211","Anthyllis_cytisoides","Environmentally Rare"
"212","Anthyllis_vulneraria","Common"
"213","Anticlea_elegans","Adaptable Survivor"
"214","Antidesma_bunius","Relict"
"215","Antirrhinum_majus","Common"
"216","Aotus_ericoides","Adaptable Survivor"
"217","Apeiba_glabra","Environmentally Rare"
"218","Apeiba_petoumo","Environmentally Rare"
"219","Apera_spica-venti","Common"
"220","Aphanes_australis","Relict"
"221","Aphloia_theiformis","Relict"
"222","Aphyllanthes_monspeliensis","Adaptable Survivor"
"223","Apodytes_dimidiata","Adaptable Survivor"
"224","Aquilegia_viridiflora","Endemic"
"225","Arabis_alpina","Common"
"226","Arabis_caerulea","Environmentally Rare"
"227","Arabis_caucasica","Common"
"228","Arabis_collina","Common"
"229","Arabis_pumila","Environmentally Rare"
"230","Aralia_racemosa","Adaptable Survivor"
"231","Araucaria_columnaris","Endemic"
"232","Araucaria_cunninghamii","Endemic"
"233","Arbutus_andrachne","Common"
"234","Arbutus_unedo","High Invasive Potential"
"235","Archirhodomyrtus_beckleri","Environmentally Rare"
"236","Archontophoenix_cunninghamiana","High Invasive Potential"
"237","Arctostaphylos_glauca","Environmentally Rare"
"238","Arctostaphylos_patula","High Invasive Potential"
"239","Arctostaphylos_tomentosa","Environmentally Rare"
"240","Arctostaphylos_uva-ursi","High Invasive Potential"
"241","Arctous_alpina","Common"
"242","Ardisia_crenata","Common"
"243","Ardisia_cymosa","Endemic"
"244","Ardisia_elliptica","Environmentally Rare"
"245","Ardisia_lindleyana","Environmentally Rare"
"246","Ardisia_obovata","Environmentally Rare"
"247","Ardisia_quinquegona","Environmentally Rare"
"248","Arenaria_aggregata","Common"
"249","Arenaria_biflora","Environmentally Rare"
"250","Arenaria_ciliata","Common"
"251","Arenaria_grandiflora","Adaptable Survivor"
"252","Arenaria_serpyllifolia","Common"
"253","Argemone_ochroleuca","Adaptable Survivor"
"254","Argyrolobium_zanonii","Common"
"255","Argyrotegium_fordianum","Environmentally Rare"
"256","Argyrotegium_mackayi","Environmentally Rare"
"257","Argyrotegium_nitidulum","Environmentally Rare"
"258","Aristida_adscensionis","Common"
"259","Aristida_behriana","Common"
"260","Aristida_contorta","Common"
"261","Aristida_obscura","Environmentally Rare"
"262","Aristida_purpurea","Common"
"263","Aristolochia_clematitis","Common"
"264","Aristolochia_pistolochia","Common"
"265","Aristotelia_peduncularis","Relict"
"266","Armeria_alpina","Adaptable Survivor"
"267","Armeria_cantabrica","Relict"
"268","Armeria_maritima","Common"
"269","Armeria_rouyana","Environmentally Rare"
"270","Arnica_montana","Common"
"271","Arnoglossum_atriplicifolium","Common"
"272","Arnoglossum_plantagineum","Common"
"273","Arrhenatherum_elatius_subsp._bulbosum","High Invasive Potential"
"274","Artemisia_annua","Common"
"275","Artemisia_californica","Environmentally Rare"
"276","Artemisia_genipi","Environmentally Rare"
"277","Artemisia_gmelinii","Common"
"278","Artemisia_herba-alba","Common"
"279","Artemisia_maritima","Environmentally Rare"
"280","Artemisia_pontica","Common"
"281","Artemisia_scoparia","Common"
"282","Arthropodium_milleflorum","Common"
"283","Arthropodium_minus","Common"
"284","Artocarpus_elasticus","Relict"
"285","Arum_maculatum","Adaptable Survivor"
"286","Asclepias_syriaca","High Invasive Potential"
"287","Asclepias_viridiflora","Common"
"288","Asclepias_viridis","Common"
"289","Asparagus_acutifolius","Common"
"290","Asparagus_albus","High Invasive Potential"
"291","Asparagus_officinalis","Common"
"292","Asperula_arvensis","Common"
"293","Asperula_cynanchica","Common"
"294","Asperula_gunnii","Common"
"295","Asphodelus_fistulosus","Common"
"296","Asphodelus_ramosus","Common"
"297","Asphodelus_tenuifolius","Environmentally Rare"
"298","Aspidosperma_album","Endemic"
"299","Aspidosperma_megalocarpon","Endemic"
"300","Aspidosperma_parvifolium","Environmentally Rare"
"301","Aspidosperma_spruceanum","Endemic"
"302","Aspidosperma_tomentosum","Environmentally Rare"
"303","Aster_amellus","Common"
"304","Astragalus_alpinus","Common"
"305","Astragalus_danicus","Common"
"306","Astragalus_exscapus","Environmentally Rare"
"307","Astragalus_glycyphyllos","Common"
"308","Astragalus_hamosus","Common"
"309","Astragalus_incanus","Common"
"310","Astragalus_monspessulanus","Common"
"311","Astragalus_onobrychis","Common"
"312","Astragalus_sesameus","Common"
"313","Astragalus_umbellatus","Common"
"314","Astrantia_major","Adaptable Survivor"
"315","Astrebla_lappacea","Common"
"316","Astroloma_humifusum","Common"
"317","Astroloma_xerophyllum","Environmentally Rare"
"318","Astronium_fraxinifolium","Environmentally Rare"
"319","Astronium_graveolens","Environmentally Rare"
"320","Astrotricha_floccosa","Relict"
"321","Ateleia_herbert-smithii","Relict"
"322","Atherosperma_moschatum","Relict"
"323","Atractylis_cancellata","Common"
"324","Atractylis_humilis","Common"
"325","Atraphaxis_frutescens","Common"
"326","Atriplex_acutibractea","Adaptable Survivor"
"327","Atriplex_angulata","Adaptable Survivor"
"328","Atriplex_canescens","High Invasive Potential"
"329","Atriplex_eardleyae","Adaptable Survivor"
"330","Atriplex_halimus","Common"
"331","Atriplex_holocarpa","Adaptable Survivor"
"332","Atriplex_leptocarpa","Adaptable Survivor"
"333","Atriplex_littoralis","Common"
"334","Atriplex_patula","Common"
"335","Atriplex_prostrata","Common"
"336","Atriplex_pseudocampanulata","Adaptable Survivor"
"337","Atriplex_sagittata","Common"
"338","Atriplex_stipitata","Adaptable Survivor"
"339","Atriplex_vesicaria","Adaptable Survivor"
"340","Aurinia_saxatilis","Common"
"341","Austrocedrus_chilensis","Adaptable Survivor"
"342","Austrostipa_nitida","Common"
"343","Austrostipa_scabra","Common"
"344","Austrostipa_variabilis","Environmentally Rare"
"345","Avena_fatua","Common"
"346","Avena_sativa","High Invasive Potential"
"347","Avena_sterilis","Common"
"348","Avena_strigosa","Common"
"349","Axyris_amaranthoides","Common"
"350","Azadirachta_indica","Adaptable Survivor"
"351","Azima_tetracantha","Relict"
"352","Baccaurea_parviflora","Relict"
"353","Backhousia_myrtifolia","Adaptable Survivor"
"354","Bactris_simplicifrons","Relict"
"355","Baeckea_brevifolia","Environmentally Rare"
"356","Baeckea_diosmifolia","Environmentally Rare"
"357","Baeckea_gunniana","Environmentally Rare"
"358","Baeckea_imbricata","Environmentally Rare"
"359","Banksia_aemula","Common"
"360","Banksia_attenuata","Common"
"361","Banksia_cirsioides","Environmentally Rare"
"362","Banksia_ericifolia","Environmentally Rare"
"363","Banksia_integrifolia","Common"
"364","Banksia_littoralis","Environmentally Rare"
"365","Banksia_marginata","Common"
"366","Banksia_menziesii","Environmentally Rare"
"367","Banksia_oblongifolia","Common"
"368","Banksia_serrata","Common"
"369","Banksia_sessilis","Environmentally Rare"
"370","Banksia_spinulosa","Common"
"371","Banksia_vestita","Environmentally Rare"
"372","Baptisia_australis","Common"
"373","Baptisia_bracteata","Common"
"374","Bartsia_alpina","Common"
"375","Bassia_prostrata","Common"
"376","Bathysa_australis","Relict"
"377","Bebbia_juncea","Common"
"378","Bedfordia_salicina","Environmentally Rare"
"379","Bellis_perennis","Common"
"380","Bellucia_grossularioides","Environmentally Rare"
"381","Bellucia_pentamera","Common"
"382","Berberis_cretica","Endemic"
"383","Berberis_julianae","Common"
"384","Berberis_microphylla","Common"
"385","Berberis_vulgaris","Common"
"386","Berchemia_discolor","Environmentally Rare"
"387","Berchemia_scandens","Common"
"388","Bertya_cunninghamii","Environmentally Rare"
"389","Beta_vulgaris","Adaptable Survivor"
"390","Betula_ermanii","Adaptable Survivor"
"391","Betula_glandulosa","Adaptable Survivor"
"392","Betula_grossa","Adaptable Survivor"
"393","Betula_humilis","Adaptable Survivor"
"394","Betula_maximowicziana","Relict"
"395","Betula_pubescens","Indicator"
"396","Betula_utilis","Relict"
"397","Beyeria_opaca","Common"
"398","Beyeria_viscosa","Common"
"399","Bischofia_javanica","Relict"
"400","Biscutella_laevigata","Common"
"401","Biscutella_valentina","Environmentally Rare"
"402","Bituminaria_bituminosa","Common"
"403","Bixa_orellana","Adaptable Survivor"
"404","Blackstonia_acuminata","Common"
"405","Blackstonia_perfoliata","Common"
"406","Blepharocalyx_salicifolius","Adaptable Survivor"
"407","Blysmus_compressus","Common"
"408","Boerhavia_dominii","Adaptable Survivor"
"409","Bolboschoenus_fluviatilis","High Invasive Potential"
"410","Bolboschoenus_maritimus","Common"
"411","Bombax_ceiba","Common"
"412","Bombycilaena_discolor","Common"
"413","Boronia_ledifolia","Relict"
"414","Boronia_pinnata","Relict"
"415","Boscia_albitrunca","Common"
"416","Bossiaea_cinerea","Environmentally Rare"
"417","Bossiaea_ensata","Common"
"418","Bossiaea_eriocarpa","Environmentally Rare"
"419","Bossiaea_foliosa","Environmentally Rare"
"420","Bossiaea_heterophylla","Common"
"421","Bossiaea_obcordata","Common"
"422","Bothriochloa_macra","Common"
"423","Bouteloua_dactyloides","Common"
"424","Bouteloua_simplex","Environmentally Rare"
"425","Brachychiton_australis","Common"
"426","Brachychiton_populneus","Common"
"427","Brachyglottis_bellidioides","Environmentally Rare"
"428","Brachyloma_daphnoides","Common"
"429","Brachypodium_distachyon","Common"
"430","Brachypodium_phoenicoides","Common"
"431","Brachypodium_retusum","Common"
"432","Brachypodium_sylvaticum","Common"
"433","Brachyscome_obovata","Environmentally Rare"
"434","Brachyscome_scapigera","Environmentally Rare"
"435","Brachystegia_boehmii","Classically Rare"
"436","Brachystegia_spiciformis","Relict"
"437","Brassica_nigra","Common"
"438","Brassica_repanda","Environmentally Rare"
"439","Brassica_tournefortii","Common"
"440","Breynia_oblongifolia","Common"
"441","Breynia_stipitata","Environmentally Rare"
"442","Breynia_vitis-idaea","Environmentally Rare"
"443","Brickellia_eupatorioides","High Invasive Potential"
"444","Bridelia_cathartica","Relict"
"445","Briza_media","Common"
"446","Bromus_diandrus","Common"
"447","Bromus_erectus","Common"
"448","Bromus_fasciculatus","Environmentally Rare"
"449","Bromus_madritensis","Common"
"450","Bromus_ramosus","High Invasive Potential"
"451","Bromus_sterilis","Common"
"452","Bromus_variegatus","Environmentally Rare"
"453","Brosimum_acutifolium","Environmentally Rare"
"454","Brosimum_lactescens","Endemic"
"455","Brosimum_parinarioides","Environmentally Rare"
"456","Brosimum_rubescens","Environmentally Rare"
"457","Brosimum_utile","Common"
"458","Brunonia_australis","Adaptable Survivor"
"459","Buchanania_arborescens","Common"
"460","Buchanania_obovata","Common"
"461","Buddleja_davidii","Indicator"
"462","Bulbine_semibarbata","Adaptable Survivor"
"463","Bulnesia_arborea","Relict"
"464","Buphthalmum_salicifolium","Common"
"465","Bupleurum_baldense","Common"
"466","Bupleurum_falcatum","Common"
"467","Bupleurum_fruticosum","Adaptable Survivor"
"468","Bupleurum_longifolium","Common"
"469","Bupleurum_praealtum","Common"
"470","Bupleurum_ranunculoides","Common"
"471","Burchardia_umbellata","Adaptable Survivor"
"472","Bursaria_spinosa","Common"
"473","Bursera_fagaroides","Common"
"474","Bursera_simaruba","Common"
"475","Butea_monosperma","Indicator"
"476","Butomus_umbellatus","Indicator"
"477","Buxus_balearica","Environmentally Rare"
"478","Buxus_sempervirens","Common"
"479","Byrsonima_crassifolia","Adaptable Survivor"
"480","Cakile_maritima","Common"
"481","Calamagrostis_arundinacea","Common"
"482","Calamagrostis_canescens","High Invasive Potential"
"483","Calamagrostis_carinata","Environmentally Rare"
"484","Calamagrostis_lapponica","Common"
"485","Calamagrostis_purpurea","Common"
"486","Calamagrostis_varia","Common"
"487","Calendula_arvensis","Common"
"488","Calendula_officinalis","High Invasive Potential"
"489","Calepina_irregularis","Adaptable Survivor"
"490","Calicotome_villosa","High Invasive Potential"
"491","Callicarpa_pedunculata","Relict"
"492","Callicoma_serratifolia","Relict"
"493","Callitriche_brutia","Adaptable Survivor"
"494","Callitriche_stagnalis","Adaptable Survivor"
"495","Callitris_rhomboidea","Adaptable Survivor"
"496","Calluna_vulgaris","Common"
"497","Calophyllum_vexans","Relict"
"498","Calotis_cuneifolia","Common"
"499","Calotis_hispidula","Common"
"500","Calotis_inermis","Environmentally Rare"
"501","Caltha_obtusa","Relict"
"502","Calystegia_silvatica","High Invasive Potential"
"503","Camelina_sativa","Common"
"504","Camellia_sasanqua","Classically Rare"
"505","Campanula_barbata","Common"
"506","Campanula_bononiensis","Common"
"507","Campanula_erinus","Common"
"508","Campanula_patula","Common"
"509","Campanula_persicifolia","Common"
"510","Campanula_pyramidalis","Common"
"511","Campanula_rapunculus","Common"
"512","Campanula_rotundifolia","Common"
"513","Campanula_scheuchzeri","Common"
"514","Campanula_sibirica","Common"
"515","Camphorosma_monspeliaca","Environmentally Rare"
"516","Cananga_odorata","Adaptable Survivor"
"517","Canarium_oleosum","Relict"
"518","Canella_winterana","Relict"
"519","Cannabis_sativa","Adaptable Survivor"
"520","Canthium_inerme","Environmentally Rare"
"521","Capparis_cynophallophora","Endemic"
"522","Capparis_spinosa","High Invasive Potential"
"523","Capparis_tomentosa","Common"
"524","Capsicum_annuum","Common"
"525","Caragana_jubata","Common"
"526","Caragana_microphylla","Endemic"
"527","Cardamine_amara","Common"
"528","Cardamine_bellidifolia","Common"
"529","Cardamine_corymbosa","Common"
"530","Cardamine_glanduligera","Common"
"531","Cardamine_impatiens","Common"
"532","Cardamine_lilacina","Environmentally Rare"
"533","Cardamine_parviflora","Common"
"534","Cardamine_pratensis","Common"
"535","Cardamine_resedifolia","Common"
"536","Carduus_acanthoides","Common"
"537","Carduus_crispus","High Invasive Potential"
"538","Carduus_defloratus","Common"
"539","Carduus_nutans","Common"
"540","Carduus_tenuiflorus","Common"
"541","Cardwellia_sublimis","Classically Rare"
"542","Carex_acuta","Common"
"543","Carex_acutiformis","Common"
"544","Carex_appropinquata","Common"
"545","Carex_aquatilis","Common"
"546","Carex_arenaria","Common"
"547","Carex_atrata","Common"
"548","Carex_bigelowii","Common"
"549","Carex_bohemica","Common"
"550","Carex_buekii","Environmentally Rare"
"551","Carex_buxbaumii","Common"
"552","Carex_canescens","Common"
"553","Carex_capillaris","Common"
"554","Carex_capitata","Environmentally Rare"
"555","Carex_caryophyllea","Common"
"556","Carex_cephalotes","Environmentally Rare"
"557","Carex_cespitosa","Common"
"558","Carex_davalliana","Common"
"559","Carex_demissa","Common"
"560","Carex_diandra","Common"
"561","Carex_dioica","Common"
"562","Carex_disticha","Common"
"563","Carex_divisa","Common"
"564","Carex_echinata","Common"
"565","Carex_ericetorum","Common"
"566","Carex_extensa","Common"
"567","Carex_ferruginea","Common"
"568","Carex_firma","Common"
"569","Carex_flacca","Common"
"570","Carex_foenea","Environmentally Rare"
"571","Carex_fuliginosa","Environmentally Rare"
"572","Carex_gaudichaudiana","Common"
"573","Carex_grayi","Common"
"574","Carex_halleriana","Common"
"575","Carex_hartmanii","Common"
"576","Carex_hebes","Environmentally Rare"
"577","Carex_hirta","Common"
"578","Carex_humilis","Common"
"579","Carex_intumescens","Common"
"580","Carex_inversa","Common"
"581","Carex_lachenalii","Common"
"582","Carex_laevigata","High Invasive Potential"
"583","Carex_lasiocarpa","Common"
"584","Carex_leporina","Common"
"585","Carex_limosa","Common"
"586","Carex_liparocarpos","Common"
"587","Carex_magellanica","Common"
"588","Carex_montana","Common"
"589","Carex_mucronata","Environmentally Rare"
"590","Carex_nigra","Common"
"591","Carex_obnupta","Common"
"592","Carex_oreophila","Environmentally Rare"
"593","Carex_otrubae","High Invasive Potential"
"594","Carex_paniculata","Common"
"595","Carex_parviflora","Common"
"596","Carex_pediformis","Common"
"597","Carex_pendula","Common"
"598","Carex_pilosa","Common"
"599","Carex_praecox","Common"
"600","Carex_pseudocyperus","Common"
"601","Carex_pulicaris","Common"
"602","Carex_remota","Common"
"603","Carex_riparia","Common"
"604","Carex_rostrata","Common"
"605","Carex_rotundata","Common"
"606","Carex_saxatilis","Common"
"607","Carex_scabrata","Common"
"608","Carex_scopulorum","Environmentally Rare"
"609","Carex_sempervirens","Common"
"610","Carex_spicata","Common"
"611","Carex_stipata","Common"
"612","Carex_vaginata","Common"
"613","Carissa_bispinosa","Common"
"614","Carissa_spinarum","Common"
"615","Carlina_acaulis","Common"
"616","Carlina_acaulis_subsp._acaulis","Common"
"617","Carlina_corymbosa","Common"
"618","Carlina_racemosa","Common"
"619","Carlina_vulgaris","Common"
"620","Carpha_nivicola","Relict"
"621","Carrichtera_annua","Adaptable Survivor"
"622","Carthamus_glaucus","Endemic"
"623","Carthamus_lanatus","Common"
"624","Carum_carvi","Common"
"625","Carum_caucasicum","Environmentally Rare"
"626","Carum_meifolium","Environmentally Rare"
"627","Caryota_mitis","Relict"
"628","Casearia_decandra","Environmentally Rare"
"629","Casearia_grandiflora","Environmentally Rare"
"630","Casearia_javitensis","Environmentally Rare"
"631","Casearia_sylvestris","High Invasive Potential"
"632","Cassia_abbreviata","Relict"
"633","Cassia_fistula","Indicator"
"634","Cassinia_aculeata","Common"
"635","Cassinia_uncata","Common"
"636","Cassipourea_guianensis","Relict"
"637","Cassytha_glabella","Adaptable Survivor"
"638","Castilla_elastica","Endemic"
"639","Catabrosa_aquatica","Common"
"640","Catalpa_ovata","Environmentally Rare"
"641","Catananche_caerulea","Common"
"642","Catapodium_rigidum","Common"
"643","Catunaregam_taylorii","Environmentally Rare"
"644","Caustis_flexuosa","Adaptable Survivor"
"645","Ceanothus_thyrsiflorus","Relict"
"646","Cecropia_ficifolia","Environmentally Rare"
"647","Cecropia_glaziovii","Environmentally Rare"
"648","Cecropia_insignis","Environmentally Rare"
"649","Cecropia_longipes","Environmentally Rare"
"650","Cecropia_obtusa","Environmentally Rare"
"651","Cecropia_peltata","Common"
"652","Cecropia_sciadophylla","Common"
"653","Cedrela_odorata","Common"
"654","Cedrus_atlantica","Common"
"655","Cedrus_deodara","Common"
"656","Ceiba_pentandra","High Invasive Potential"
"657","Celmisia_brevifolia","Environmentally Rare"
"658","Celmisia_gracilenta","Common"
"659","Celtis_africana","Adaptable Survivor"
"660","Celtis_sinensis","Indicator"
"661","Centaurea_aspera","Common"
"662","Centaurea_calcitrapa","Common"
"663","Centaurea_diffusa","Common"
"664","Centaurea_jacea","Common"
"665","Centaurea_melitensis","Common"
"666","Centaurea_nigra","Common"
"667","Centaurea_pectinata","Environmentally Rare"
"668","Centaurea_scabiosa","Common"
"669","Centaurea_solstitialis","Common"
"670","Centaurea_stoebe","Common"
"671","Centaurium_erythraea","Common"
"672","Centranthus_angustifolius","Environmentally Rare"
"673","Centranthus_ruber","Common"
"674","Centronia_laurifolia","Relict"
"675","Cephalanthera_damasonium","Adaptable Survivor"
"676","Cephalanthus_occidentalis","Common"
"677","Cephalaria_leucantha","Common"
"678","Cephalaria_transsylvanica","Environmentally Rare"
"679","Cerastium_arcticum","Environmentally Rare"
"680","Cerastium_arvense","Common"
"681","Cerastium_arvense_subsp._strictum","Environmentally Rare"
"682","Cerastium_brachypetalum","Common"
"683","Cerastium_cerastoides","Common"
"684","Cerastium_diffusum","Common"
"685","Cerastium_dubium","Environmentally Rare"
"686","Cerastium_fontanum","Common"
"687","Cerastium_glomeratum","Common"
"688","Cerastium_latifolium","Environmentally Rare"
"689","Cerastium_semidecandrum","Common"
"690","Cerastium_tomentosum","Common"
"691","Cerastium_uniflorum","Environmentally Rare"
